#1's Destiny child [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"BMG Music Entertainment,"	c2005.	||||	Subject:	Popular Music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	781.63	F51	(n/a)	||||	Barcode:	CD 2508
A child's world 	-	Author:	"Papalia, Diane E."	||||	Publisher:	Boston :	"Mc Graw Hill,"	c2002.	||||	Subject:	Child development	||||	Location:	Audio Visual Center	||||	Call ID:	CD	305.231	P19	2002	||||	Barcode:	CD 4405
A Chipmunk christmas [ sound recording ].	-	Author:	(n/a)	||||	Publisher:	[place unknown] :	"Sony Kids Music,"	c1992.	||||	Subject:	Christmas carols	||||	Location:	Audio Visual Center	||||	Call ID:	CD	782.28	C46	(n/a)	||||	Barcode:	CD 3340
A Cinderella story [motion picture]	-	Author:	(n/a)	||||	Publisher:	c2004.	(n/a)		||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.436'30	C49	2004	||||	Barcode:	CD 1263
A Cinderella story [motion picture]	-	Author:	(n/a)	||||	Publisher:	c2004.	(n/a)		||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.436'30	C49	2004	||||	Barcode:	CD 1264
A collection of capampangan songs [sound recording].	-	Author:	(n/a)	||||	Publisher:	Pampanga :	Sapni (Heirs nang Crissot literary and cultural Fo	c2000.	||||	Subject:	"Music, Filipino (Capampangan)"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	780.941	C68	2000	||||	Barcode:	CD 089
A collection of capampangan songs [sound recording].	-	Author:	(n/a)	||||	Publisher:	Pampanga :	Sapni (Heirs nang Crissot literary and cultural Fo	c2000.	||||	Subject:	"Music, Filipino (Capampangan)"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	780.941	C68	2000	||||	Barcode:	CD 090
A collection of capampangan songs [sound recording].	-	Author:	(n/a)	||||	Publisher:	Pampanga :	Sapni (Heirs nang Crissot literary and cultural Fo	c2000.	||||	Subject:	"Music, Filipino (Capampangan)"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	780.941	C68	2000	||||	Barcode:	CD 083
A collection of capampangan songs [sound recording].	-	Author:	(n/a)	||||	Publisher:	Pampanga :	Sapni (Heirs nang Crissot literary and cultural Fo	c2000.	||||	Subject:	"Music, Filipino (Capampangan)"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	780.941	C68	2000	||||	Barcode:	CD 084
A collection of capampangan songs [sound recording].	-	Author:	(n/a)	||||	Publisher:	Pampanga :	Sapni (Heirs nang Crissot literary and cultural Fo	c2000.	||||	Subject:	"Music, Filipino (Capampangan)"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	780.941	C68	2000	||||	Barcode:	CD 085
A collection of capampangan songs [sound recording].	-	Author:	(n/a)	||||	Publisher:	Pampanga :	Sapni (Heirs nang Crissot literary and cultural Fo	c2000.	||||	Subject:	"Music, Filipino (Capampangan)"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	780.941	C68	2000	||||	Barcode:	CD 086
A collection of capampangan songs [sound recording].	-	Author:	(n/a)	||||	Publisher:	Pampanga :	Sapni (Heirs nang Crissot literary and cultural Fo	c2000.	||||	Subject:	"Music, Filipino (Capampangan)"	||||	Location:	Audio Visual Center	||||	Call ID:	CT	780.941	C68	2000	||||	Barcode:	CT 094
A Computer science tapestry 	-	Author:	"Astrathan, Owen L."	||||	Publisher:	Boston :	"Mc Graw   Hill,"	c2000.	||||	Subject:	C++ (Computer program language)	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	005.13'3	As8	2000	||||	Barcode:	41179
A Computer science tapestry 	-	Author:	"Astrathan, Owen L."	||||	Publisher:	Boston :	"Mc Graw   Hill,"	c2000.	||||	Subject:	C++ (Computer program language)	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	005.13'3	As8	2000	||||	Barcode:	52050
A Computer science tapestry 	-	Author:	"Astrathan, Owen L."	||||	Publisher:	Boston :	"Mc Graw   Hill,"	c2000.	||||	Subject:	C++ (Computer program language)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	005.13'3	As8	2000	||||	Barcode:	CD 1613
A Computer science tapestry 	-	Author:	"Astrathan, Owen L."	||||	Publisher:	Boston :	"Mc Graw   Hill,"	c2000.	||||	Subject:	C++ (Computer program language)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	005.13'3	As8	2000	||||	Barcode:	CD 1614
A Concise Introduction to Logic [Computer File]  	-	Author:	"Hurley, Patrick J."	||||	Publisher:	California :	"Wadsworth,"	c2000.	||||	Subject:	Logic	||||	Location:	Audio Visual Center	||||	Call ID:	CD	160	H93	2000	||||	Barcode:	CD 244
A digital video companion to basic mathematics [ computer file ]  	-	Author:	"McKeague, Charles P."	||||	Publisher:	Australia :	"Brooks   Cole,"	c2000.	||||	Subject:	Mathematics	||||	Location:	Audio Visual Center	||||	Call ID:	CD	513.14	M19	2000	||||	Barcode:	CD 425
A digital video companion to prealgebra  	-	Author:	"McKeague, Charles P."	||||	Publisher:	Australia :	"Brook Cole,"	c2000.	||||	Subject:	Mathematics.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	513.14	M19	2001	||||	Barcode:	CD 466
A Few good men [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"Columbia Pictures,"	c1992.	||||	Subject:	Trials (Murder)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.4372	F43	1992	||||	Barcode:	CD 2074
A first course in business statistics [ computer file ]  	-	Author:	"McClave, James T."	||||	Publisher:	New Jersey :	"Prentice Hall,"	c1998.	||||	Subject:	Statistics	||||	Location:	Audio Visual Center	||||	Call ID:	D	519.5	M13	1998	||||	Barcode:	D 025
A Gifted program in action [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	Chicago :	"Britannica,"	c1981.	||||	Subject:	Special education	||||	Location:	Audio Visual Center	||||	Call ID:	VT	371.95	G36	(n/a)	||||	Barcode:	VT 802
A Gifted program in action. [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	Chicago :	"Britannica,"	c 1981.	||||	Subject:	Special education	||||	Location:	Audio Visual Center	||||	Call ID:	VT	371.95	G36	(n/a)	||||	Barcode:	VT 806
A glimpse of the Philippine protected areas [ video recording  	-	Author:	(n/a)	||||	Publisher:	Philippines :	"Haribon Foundation,"	C1994.	||||	Subject:	Conservation of Natural resources.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	333.72'599	G49	1994	||||	Barcode:	VT 584
A glimpse of the Philippine protected areas [ video recording  	-	Author:	(n/a)	||||	Publisher:	Philippines :	"Haribon Foundation,"	C1994.	||||	Subject:	Conservation of Natural resources.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	333.72'599	G49	1994	||||	Barcode:	VT 875
"A guide to observation, participation and reflection in the classroom [ computer file ]  "	-	Author:	"Reed, Arthea J. S."	||||	Publisher:	Boston :	"McGrwa Hill,"	c2005.	||||	Subject:	Observation (Educational Method)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	370	R25	(n/a)	||||	Barcode:	CD 2265
A Harvest of new songs from Mindanao 	-	Author:	(n/a)	||||	Publisher:	Davao City :	"DEMS,"	c199?.	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CT	781.621	H26	(n/a)	||||	Barcode:	CT 079
A history of Western art  	-	Author:	"Adams, Laurie"	||||	Publisher:	"Boston, Mass. :"	"McGraw Hill,"	c2001.	||||	Subject:	Art	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	709	Ad1	2001	||||	Barcode:	51741
A history of Western art  	-	Author:	"Adams, Laurie"	||||	Publisher:	"Boston, Mass. :"	"McGraw Hill,"	c2001.	||||	Subject:	Art	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	709	Ad1	2001	||||	Barcode:	53581
A history of Western art  	-	Author:	"Adams, Laurie"	||||	Publisher:	"Boston, Mass. :"	"McGraw Hill,"	c2001.	||||	Subject:	Art	||||	Location:	Audio Visual Center	||||	Call ID:	CD	709	Ad1	2001	||||	Barcode:	CD 1791
A history of Western art  	-	Author:	"Adams, Laurie"	||||	Publisher:	"Boston, Mass. :"	"McGraw Hill,"	c2001.	||||	Subject:	Art	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	709	Ad2	2001	||||	Barcode:	60298
A history of western art [ computer file ]  	-	Author:	"Adams, Laurie Schneider"	||||	Publisher:	New York :	"McGraw Hill,"	c2001.	||||	Subject:	Art	||||	Location:	Audio Visual Center	||||	Call ID:	CD	709	Ad1	(n/a)	||||	Barcode:	CD 2230
A history of western art [ computer file ]  	-	Author:	"Adams, Laurie Schneider"	||||	Publisher:	New York :	"McGraw Hill,"	c2001.	||||	Subject:	Art	||||	Location:	Audio Visual Center	||||	Call ID:	CD	709	Ad1	(n/a)	||||	Barcode:	CD 2231
A history of western art [computer file]  	-	Author:	"Adams, Laurie Schneider"	||||	Publisher:	New York :	"McGraw Hill,"	c2004.	||||	Subject:	Art	||||	Location:	Audio Visual Center	||||	Call ID:	CD	709	Ad1	(n/a)	||||	Barcode:	CD 3112
