#1's Destiny child [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"BMG Music Entertainment,"	c2005.	||||	Subject:	Popular Music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	781.63	F51	(n/a)	||||	Barcode:	CD 2508
Implementing models of financial derivatives 	-	Author:	"Webber, Nick."	||||	Publisher:	Chichester :	"Wiley,"	2011	||||	Subject:	Derivative securities	||||	Location:	Circulation Section	||||	Call ID:	(n/a)	332.64	W38	2011	||||	Barcode:	62923
Implementing models of financial derivatives 	-	Author:	"Webber, Nick."	||||	Publisher:	Chichester :	"Wiley,"	2011	||||	Subject:	Derivative securities	||||	Location:	Audio Visual Center	||||	Call ID:	CD	332.64	W38	2011	||||	Barcode:	CD 4415
Improving Communication with the Visually and Hearing Impaired	-	Author:	(n/a)	||||	Publisher:	"New York, N.Y. :"	"Films Media Group,"	c2008.	||||	Subject:	Ear	||||	Location:	Audio Visual Center	||||	Call ID:	CD	617.89	Im7	2008	||||	Barcode:	CD 4357
Improving Your Rehabilitative Nursing Skills [vidoerecording]	-	Author:	(n/a)	||||	Publisher:	"New York, N.Y. :"	"Films Media Group,"	c2011	||||	Subject:	Pain	||||	Location:	Audio Visual Center	||||	Call ID:	CD	616.0472	Im7	2011	||||	Barcode:	CD 4352
In God's Image 	-	Author:	(n/a)	||||	Publisher:	[ s. l ] :	Claret Audio Visual Ministries:a division of Clare	[c19?]	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	VT	241.6	In1	(n/a)	||||	Barcode:	VT 285
In god's image 	-	Author:	(n/a)	||||	Publisher:	(n/a)	"Franciscans communication,"	c1989.	||||	Subject:	Sexual relations.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	261.835	In1	1989	||||	Barcode:	VT 283
In God's Image 	-	Author:	(n/a)	||||	Publisher:	[ s. l ] :	Claret Audio Visual Ministries:a division of Clare	[c19?]	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	VT	241.6	In1	(n/a)	||||	Barcode:	VT 282
In god's image 	-	Author:	(n/a)	||||	Publisher:	[s.l] :	"Franciscans communication,"	c1989.	||||	Subject:	Sexual relations.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	261.835	In1	1989	||||	Barcode:	VT 284
In God's image (male and female) 	-	Author:	"Miller, Patricia F."	||||	Publisher:	California :	"Franciscan Communications,"	c1989.	||||	Subject:	Sexual ethics	||||	Location:	Audio Visual Center	||||	Call ID:	(n/a)	176	M61	1989	||||	Barcode:	39089
In her shoes [motion picture]  	-	Author:	"Hanson, Curtis"	||||	Publisher:	[Place of publication not identified] :	"Twentieth Century Fox,"	c2006.	||||	Subject:	Sisters	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43'75	H19	2006	||||	Barcode:	CD 3812
In my life [motion picture]  	-	Author:	"Lamasan, Olivia M."	||||	Publisher:	Quezon City :	"Star Recording,"	2009	||||	Subject:	Gay interest	||||	Location:	Audio Visual Center	||||	Call ID:	CD	306.76	L16	2009	||||	Barcode:	CD 3779
In psych  [ computer file ]  	-	Author:	"Lahey, Benjamin B."	||||	Publisher:	Boston :	"McGraw Hill,"	c2005.	||||	Subject:	Psychology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	150	L13	(n/a)	||||	Barcode:	CD 2457
In Psych [ computer file ]  	-	Author:	"Passer, Michael W."	||||	Publisher:	Boston :	"McGraw Hill,"	c2004.	||||	Subject:	Psychology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	150	P26	(n/a)	||||	Barcode:	CD 2434
In pursuit of the shroud [video recording]  	-	Author:	"Tunbridge, V.T."	||||	Publisher:	"Bethesda, MD :"	"Discovery Communications Inc,"	c 2005.	||||	Subject:	Holy Shroud	||||	Location:	Audio Visual Center	||||	Call ID:	CD	232.9	T83	2005	||||	Barcode:	CD 1974
In quest of the universe [computer file]  	-	Author:	"Koupelis, Theo."	||||	Publisher:	"Sudbury, Mass. :"	"Jones and Bartlett Publishers,"	c2011.	||||	Subject:	Solar system	||||	Location:	Audio Visual Center	||||	Call ID:	CD	523.2	K84	2011	||||	Barcode:	CD 3852
In search of a miracle diabetes [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	Discovery Communications.		||||	Subject:	Diabetes (medicine)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	616.462	In1	(n/a)	||||	Barcode:	CD 2698
In search of ourselves [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"WGBH Educational Foundation,"	c2005.	||||	Subject:	Human behavior	||||	Location:	Audio Visual Center	||||	Call ID:	CD	150	In1	(n/a)	||||	Barcode:	CD 2793
In the beginning [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"Hall Mark Entertainment,"	c2000.	||||	Subject:	Ten Commandments	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	In1	(n/a)	||||	Barcode:	CD 3327
In the beginning [ motion picture ]  	-	Author:	"Connor, Kevin"	||||	Publisher:	USA :	"Hall Mark Entertainment,"	c2000.	||||	Subject:	Ten Commandments	||||	Location:	Audio Visual Center	||||	Call ID:	CD	222.16	In1	2000	||||	Barcode:	CD 3591
In the company of others 	-	Author:	"Rothwell, J. Dan"	||||	Publisher:	"Mountain View, Calif. :"	"Mayfield Pub.,"	c2004.	||||	Subject:	Communication.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2	R74	2004	||||	Barcode:	CD 4305
In the footsteps of Christ [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	Pasay City :	"Daughters of St. Pauls,"	c1999.	||||	Subject:	Jesus Christ	||||	Location:	Audio Visual Center	||||	Call ID:	VT	232.9	In1	(n/a)	||||	Barcode:	VT 202
In the footsteps of Christ [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	Pasay City :	"Daughters of St. Pauls,"	c1999.	||||	Subject:	Jesus Christ	||||	Location:	Audio Visual Center	||||	Call ID:	VT	232.9	In1	(n/a)	||||	Barcode:	VT 203
In the footsteps of Christ [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	Pasay City :	"Daughters of St. Pauls,"	c1999.	||||	Subject:	Jesus Christ	||||	Location:	Audio Visual Center	||||	Call ID:	VT	232.9	In1	(n/a)	||||	Barcode:	VT 204
In the footsteps of Christ [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	Pasay City :	"Daughters of St. Pauls,"	c1999.	||||	Subject:	Jesus Christ	||||	Location:	Audio Visual Center	||||	Call ID:	VT	232.9	In1	(n/a)	||||	Barcode:	VT 205
In the footsteps of Christ [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	Pasay City :	"Daughters of St. Pauls,"	c1999.	||||	Subject:	Jesus Christ	||||	Location:	Audio Visual Center	||||	Call ID:	VT	232.9	In1	(n/a)	||||	Barcode:	VT 206
In the Line of Fire [motion picture]  	-	Author:	"Maguire, Jeff"	||||	Publisher:	[s.l.] :	"Columbia Pictures,"	c1993.	||||	Subject:	Secret Service Agent	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	M27	(n/a)	||||	Barcode:	CD 2004
In the minds of the criminals [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	"Bethesda, MD :"	"Discovery Communication,"	c2005.	||||	Subject:	Criminal Investigation	||||	Location:	Audio Visual Center	||||	Call ID:	CD	363.25	In1	(n/a)	||||	Barcode:	CD 2720
In the path of a killer volcano 	-	Author:	(n/a)	||||	Publisher:	[USA] :	"WGBH Educational Foundation,"	c2006.	||||	Subject:	"Pinatubo, Mount (Philippines )"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	551.21'095991	In1	(n/a)	||||	Barcode:	CD 2830
Income statement [video recording].	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"Cerebellum Corporation,"	c2002.	||||	Subject:	Accounting	||||	Location:	Audio Visual Center	||||	Call ID:	VT	657	In2	2002	||||	Barcode:	VT 671
Indecent proposal [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	[s.l] :	"Paramount Pictures,"	c2002.	||||	Subject:	Romance	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	In2	(n/a)	||||	Barcode:	CD 2642
Indepence day [ motion picture ]  	-	Author:	"Emmerich, Roland"	||||	Publisher:	[ s.l. ] :	"Twentieth Century Fox,"	c1999.	||||	Subject:	Life on the other planet	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.4372	Em6	1999	||||	Barcode:	CD 2000
India I & II [ video recording ].	-	Author:	(n/a)	||||	Publisher:	Florida :	"Wolff Production,"	c 2005.	||||	Subject:	India	||||	Location:	Audio Visual Center	||||	Call ID:	CD	934	In2	(n/a)	||||	Barcode:	CD 2392
Indiana Jones [ motion picture ]  	-	Author:	"Lucas, George"	||||	Publisher:	[s.l.] :	Paramount Pictures.		||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	L96	(n/a)	||||	Barcode:	CD 2007
Indiana Jones [motion picture]  	-	Author:	(n/a)	||||	Publisher:	[s.l] :	"Paramount Pictures,"	c1989.	||||	Subject:	Adventure	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	In2	(n/a)	||||	Barcode:	CD 2031
Individualizing instruction through contract [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	[ s. l. ] :	"Universal Dimensions Inc,"	c1981.	||||	Subject:	Teaching	||||	Location:	Audio Visual Center	||||	Call ID:	VT	372.13	In2	1981	||||	Barcode:	VT 803
Indonesia [ video recording ].	-	Author:	(n/a)	||||	Publisher:	"Houston, Texas :"	"Travel View International,"	c1996.	||||	Subject:	Indonesia	||||	Location:	Audio Visual Center	||||	Call ID:	CD	959.8	In2	(n/a)	||||	Barcode:	CD 3252
"Indonesia, Malaysia, Thailand & Cambodia [ video recording ]."	-	Author:	(n/a)	||||	Publisher:	Florida :	"Wolff Production,"	c2005.	||||	Subject:	Indonesia	||||	Location:	Audio Visual Center	||||	Call ID:	CD	959.8	In2	(n/a)	||||	Barcode:	CD 2391
Industrial control electronics 	-	Author:	"Bartelt, Terry L. M."	||||	Publisher:	"Clifton Park, NY :"	"Thomson Delmar Learning,"	c2006.	||||	Subject:	Industrial electronics.	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	621.381	B23	2006	||||	Barcode:	55775
Industrial control electronics 	-	Author:	"Bartelt, Terry L. M."	||||	Publisher:	"Clifton Park, NY :"	"Thomson Delmar Learning,"	c2006.	||||	Subject:	Industrial electronics.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	621.381	B23	2006	||||	Barcode:	CD 2842
Industrial Water Recise and Wastewater Minimization [video recording]  	-	Author:	"Mann, James G."	||||	Publisher:	New York :	"McGraw   Hill,"	c1999.	||||	Subject:	Water re use	||||	Location:	Audio Visual Center	||||	Call ID:	CD	628.1'62	M31	1999	||||	Barcode:	CD 104
Infection control and standard precautions [ video recording ]	-	Author:	(n/a)	||||	Publisher:	[S.l.] :	"Delmar Publishers, Inc.,"	c1997.	||||	Subject:	Medical assistants	||||	Location:	Audio Visual Center	||||	Call ID:	VT	610.73	In8	1997	||||	Barcode:	VT 547
Information systems auditing and assurance (computer file)  	-	Author:	"Hall, James A."	||||	Publisher:	Cincinnati :	"South Western College Publishing,"	c2000.	||||	Subject:	Electronic data processing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658.'0558	H14	2000	||||	Barcode:	CD 418
Information Systems Auditing and Assurance [video recording]  	-	Author:	"Hall, James A."	||||	Publisher:	Cincinnati :	"South   Western College Pub,"	c2000.	||||	Subject:	Electronic data processing Auditing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658.'0558	H14	2000	||||	Barcode:	CD 096
Information technology auditing and assurance [computer file] 	-	Author:	"Hall, James A."	||||	Publisher:	"Mason, Ohio :"	"Thomson South Western,"	c2005.	||||	Subject:	Electronic data processing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658.0558	H14	2005	||||	Barcode:	CD 1810
Information technology project management [computer file] 	-	 Author:	"Marchewka, Jack T."	||||	Publisher:	"Hoboken, NJ :"	"John Wiley & Sons,"	c2013.	||||	 Subject:	Project management.	||||	Location:	Audio-Visual Center	||||	Call ID:	CD	658.4040285	M33	2013	||||	Barcode:	CD 4642
Information technology project management [computer file] 	-	 Author:	"Marchewka, Jack T."	||||	Publisher:	"Hoboken, NJ :"	"John Wiley & Sons,"	c2013.	||||	 Subject:	Project management.	||||	Location:	Audio-Visual Center	||||	Call ID:	CD	658.4040285	M33	2013	||||	Barcode:	CD 4638
Innovation Watch  	-	Author:	"Clemente, Isis C."	||||	Publisher:	New Jersey :	"Prentice   Hall Regents,"	c1996.	||||	Subject:	Back pain and Sciatic Nerve Pain	||||	Location:	Audio Visual Center	||||	Call ID:	VT	617.564	C59	(n/a)	||||	Barcode:	VT 130
Innovations in the food industry 	-	Author:	(n/a)	||||	Publisher:	Quezon City :	"Felta Multi Media, Inc."		||||	Subject:	Food	||||	Location:	Audio Visual Center	||||	Call ID:	CD	664.19	In6	(n/a)	||||	Barcode:	CD 3481
Innovations in the food industry 	-	Author:	(n/a)	||||	Publisher:	Quezon City :	"Felta Multi Media, Inc."		||||	Subject:	Food container industry	||||	Location:	Audio Visual Center	||||	Call ID:	CD	381'.45664092'19	In6	(n/a)	||||	Barcode:	CD 3482
Innovative teaching for student motivation [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	Chicago :	"Britannica,"	c1981.	||||	Subject:	Motivation	||||	Location:	Audio Visual Center	||||	Call ID:	VT	370.154	In6	(n/a)	||||	Barcode:	VT 807
Inquiry into life [computer file]  	-	Author:	"Mader, Sylvia S."	||||	Publisher:	Boston :	"McGraw   Hill,"	c2000.	||||	Subject:	Biology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	570	M26	2000	||||	Barcode:	CD 339
Inquiry into life [computer file]  	-	Author:	"Mader, Sylvia S."	||||	Publisher:	Boston :	"McGraw   Hill,"	c2000.	||||	Subject:	Biology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	570	M26	2000	||||	Barcode:	CD 340
Insect and their homes [ video recording ].	-	Author:	(n/a)	||||	Publisher:	[ s. l. ] :	"Coronet Instructional Films,"	[ 19? ]	||||	Subject:	Insecta	||||	Location:	Audio Visual Center	||||	Call ID:	VT	595.7	In1	(n/a)	||||	Barcode:	VT 402
Insect life cycle [ video recording ].	-	Author:	(n/a)	||||	Publisher:	Philippines :	"International Booksource Center Inc,"	[ c19? ]	||||	Subject:	Insects.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	595.7	In8	(n/a)	||||	Barcode:	VT 404
Insects [ computer file ].	-	Author:	(n/a)	||||	Publisher:	Dallas :	"Fogware Publishing,"	c2002.	||||	Subject:	Insects	||||	Location:	Audio Visual Center	||||	Call ID:	CD	595.7	In8	2002	||||	Barcode:	CD 1492
Inside autoCAD 2000 [ computer file ]  	-	Author:	"Burchard, Bill"	||||	Publisher:	Indiana :	"New Riders,"	c1999.	||||	Subject:	AutoCAD.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	620.004'202'85	B89	1999	||||	Barcode:	CD 447
Inside Maya 5 [ computer file ]  	-	Author:	"Adams, Mark"	||||	Publisher:	"Indianapolis, IN :"	"New Riders,"	c2004.	||||	Subject:	Computer animation.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	006.6'96	Ad1	2004	||||	Barcode:	CD 1534
Inside Pro ENGINEER 	-	Author:	"Utz,James"	||||	Publisher:	"Santa Fe,NM :"	"Onword Press,"	c1995.	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	D	620.0042'028553	Ut9	1995	||||	Barcode:	D 155
Inside the human body [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	Boston :	"WGBH Boston Video,"	c2004.	||||	Subject:	Human reproduction.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	612.6	In7	(n/a)	||||	Barcode:	CD 2296
Inside the human body [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	Boston :	"WGBH Boston Video,"	c2004.	||||	Subject:	Human reproduction.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	612.6	In7	(n/a)	||||	Barcode:	CD 2297
Inside the human body [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	Boston :	"WGBH Boston Video,"	c2004.	||||	Subject:	Human reproduction.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	612.6	In7	(n/a)	||||	Barcode:	CD 2298
Inside tract 	-	Author:	(n/a)	||||	Publisher:	New York :	"Discover Communications, Inc,"	c2010.	||||	Subject:	Diet	||||	Location:	Audio Visual Center	||||	Call ID:	CD	616.330654	In7	2010	||||	Barcode:	CD 3741
Inspirations [sound recording]  	-	Author:	"Rivera, Jamie"	||||	Publisher:	[Place of publication not identified] :	"Star Recording,"	c2011.	||||	Subject:	Popular music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	783.242164	R51	2011	||||	Barcode:	CD 3766
"Installing, troubleshooting, and repairing wireless networks [ computer file ]  "	-	Author:	"Aspinwall, Jim."	||||	Publisher:	New York :	"McGraw Hill,"	c2003.	||||	Subject:	Wireless LANs.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	004.6'8	As6	2003	||||	Barcode:	CD 1430
"Installing, troubleshooting, and repairing wireless networks [computer file]  "	-	Author:	"Aspinwall, Jim."	||||	Publisher:	New York :	"McGraw Hill,"	c2003.	||||	Subject:	Wireless LANs. I. Title.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	004.6'8	As6	2003	||||	Barcode:	CD 1753
Instant bartender [ computer file ].	-	Author:	(n/a)	||||	Publisher:	[ s. l ] :	"Personal Companion,"	[ c19? ]	||||	Subject:	Bartending	||||	Location:	Audio Visual Center	||||	Call ID:	CD	641.874	In7	(n/a)	||||	Barcode:	CD 547
Instant design 	-	Author:	"Ethier, Stephen J."	||||	Publisher:	"Upper Saddle River, N.J. :"	"Pearson Prentice Hall,"	c2005.	||||	Subject:	Engineering graphics.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	620'.0042'0285536	Et3	(n/a)	||||	Barcode:	CD 3036
Instant immersion French	-	Author:	(n/a)	||||	Publisher:	"Renton, WA :"	"Topics Entertainment Countertop Software,"	c2002.	||||	Subject:	French language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	448.342	In7	2002	||||	Barcode:	CD 1044
Instant immersion French	-	Author:	(n/a)	||||	Publisher:	"Renton, WA :"	"Topics Entertainment Countertop Software,"	c2002.	||||	Subject:	French language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	448.342	In7	2002	||||	Barcode:	CD 1045
Instant immersion French	-	Author:	(n/a)	||||	Publisher:	"Renton, WA :"	"Topics Entertainment Countertop Software,"	c2002.	||||	Subject:	French language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	448.342	In7	2002	||||	Barcode:	CD 1046
Instant immersion French	-	Author:	(n/a)	||||	Publisher:	"Renton, WA :"	"Topics Entertainment Countertop Software,"	c2002.	||||	Subject:	French language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	448.342	In7	2002	||||	Barcode:	CD 1047
Instant immersion French	-	Author:	(n/a)	||||	Publisher:	"Renton, WA :"	"Topics Entertainment Countertop Software,"	c2002.	||||	Subject:	French language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	448.342	In7	2002	||||	Barcode:	CD 1048
Instant immersion French	-	Author:	(n/a)	||||	Publisher:	"Renton, WA :"	"Topics Entertainment Countertop Software,"	c2002.	||||	Subject:	French language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	448.342	In7	2002	||||	Barcode:	CD 1049
Instant immersion French	-	Author:	(n/a)	||||	Publisher:	"Renton, WA :"	"Topics Entertainment Countertop Software,"	c2002.	||||	Subject:	French language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	448.342	In7	2002	||||	Barcode:	CD 1050
Instant immersion Japanese.[computer file].	-	Author:	(n/a)	||||	Publisher:	Renton WA :	"TOPICS Entertainment,"	c2002.	||||	Subject:	Japanese Language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	495.6'8007	In7	2002	||||	Barcode:	CD 918
Instant immersion Japanese.[computer file].	-	Author:	(n/a)	||||	Publisher:	Renton WA :	"TOPICS Entertainment,"	c2002.	||||	Subject:	Japanese Language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	495.6'8007	In7	2002	||||	Barcode:	CD 919
Instant immersion Japanese.[computer file].	-	Author:	(n/a)	||||	Publisher:	Renton WA :	"TOPICS Entertainment,"	c2002.	||||	Subject:	Japanese Language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	495.6'8007	In7	2002	||||	Barcode:	CD 920
Instant immersion Japanese.[computer file].	-	Author:	(n/a)	||||	Publisher:	Renton WA :	"TOPICS Entertainment,"	c2002.	||||	Subject:	Japanese Language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	495.6'8007	In7	2002	||||	Barcode:	CD 921
Instant Japanese [ sound recording ]  	-	Author:	"Smith, Elisabeth"	||||	Publisher:	UK :	"Teach Yourself,"	c2006.	||||	Subject:	Japanese Language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	495.6'8007	Sm5	(n/a)	||||	Barcode:	CD 2761
Instant memory power [sound recording]  	-	Author:	"Singere, Norman"	||||	Publisher:	Philippines :	"Felta Automated Learning Center,"	c1986.	||||	Subject:	Memory and learning	||||	Location:	Audio Visual Center	||||	Call ID:	CT	153.1	Sil	(n/a)	||||	Barcode:	CT 069
Instant web forms and surveys for academic libraries [computer file] 	-	Author:	"Junion Metz, Gail"	||||	Publisher:	New York :	"Neal Schuman Publishers, Inc,"	c2001.	||||	Subject:	Academic libraries	||||	Location:	Audio Visual Center	||||	Call ID:	CD	27.7	J95	(n/a)	||||	Barcode:	CD 2859
Instant Web forms and surveys for academic libraries [computer file]  	-	Author:	"Junion Metz, Gail,"	||||	Publisher:	New York :	"Neal Schuman,"	c2001.	||||	Subject:	Academic libraries	||||	Location:	Audio Visual Center	||||	Call ID:	CD	27.7	J96	2001	||||	Barcode:	CD 3718
Instant Web forms and surveys for children's YA services and school libraries  	-	Author:	"Junion Metz, Gail,"	||||	Publisher:	New York :	"Neal Schuman,"	2002	||||	Subject:	Children's libraries	||||	Location:	Circulation Section	||||	Call ID:	(n/a)	27.626	J95	2002	||||	Barcode:	56483
Instant Web forms and surveys for children's YA services and school libraries  	-	Author:	"Junion Metz, Gail,"	||||	Publisher:	New York :	"Neal Schuman,"	2002	||||	Subject:	Children's libraries	||||	Location:	Audio Visual Center	||||	Call ID:	CD	27.626	J95	2002	||||	Barcode:	CD 3719
Instant Web forms and surveys for children's YA services and school libraries [computer file] 	-	Author:	"Junion Metz, Gail,"	||||	Publisher:	New York :	"Neal Schuman,"	2002	||||	Subject:	Children's libraries	||||	Location:	Audio Visual Center	||||	Call ID:	CD	27.626	J95	(n/a)	||||	Barcode:	CD 2860
Instant web forms and surveys for public libraries [computer file] 	-	Author:	"Junion Metz, Gail"	||||	Publisher:	New York :	"Neal Schuman Publishers, Inc,"	c2001.	||||	Subject:	Public libraries	||||	Location:	Audio Visual Center	||||	Call ID:	CD	27.4	J95	(n/a)	||||	Barcode:	CD 2902
Instant Web forms and surveys for public libraries [computer file] 	-	Author:	"Junion Metz, Gail,"	||||	Publisher:	New York :	"Neal Schuman,"	c2001.	||||	Subject:	Academic libraries	||||	Location:	Audio Visual Center	||||	Call ID:	CD	27.4	J96	2001	||||	Barcode:	CD 3717
Instructor's resource kit to accompany Microsoft Office 2000 for Windows  	-	Author:	"Hutchinson, Sarah E."	||||	Publisher:	"Boston, Massachuesetts :"	"Irwin McGraw Hill,"	c2000.	||||	Subject:	Microsoft office	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	5.269	H97	2000	||||	Barcode:	47439
Instructor's resource kit to accompany Microsoft Office 2000 for Windows  	-	Author:	"Hutchinson, Sarah E."	||||	Publisher:	"Boston, Massachuesetts :"	"Irwin McGraw Hill,"	c2000.	||||	Subject:	Microsoft office	||||	Location:	Audio Visual Center	||||	Call ID:	CD	5.269	H97	2000	||||	Barcode:	CD 684
Instrumental music 	-	Author:	(n/a)	||||	Publisher:	South Korea :	"St. Paul Audio Visual,"	c1999.	||||	Subject:	Religious music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	781.71	In7	(n/a)	||||	Barcode:	CD 2639
Instrumental music 	-	Author:	(n/a)	||||	Publisher:	South Korea :	"St. Pauls Audio Visual,"	c1999.	||||	Subject:	Religious music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	781.71	In7	(n/a)	||||	Barcode:	CD 2632
Integrated accounting for windows [ computer file ]  	-	Author:	"Klooster, Dale H."	||||	Publisher:	Ohio :	"South   Western College Publishing,"	c1998.	||||	Subject:	Accounting	||||	Location:	Audio Visual Center	||||	Call ID:	D	657.005'437	K69	1998	||||	Barcode:	D 192
Integrated accounting for windows [ computer file ]  	-	Author:	"Klooster, Dale H."	||||	Publisher:	Ohio :	"South   Western College Publishing,"	c1998.	||||	Subject:	Accounting	||||	Location:	Audio Visual Center	||||	Call ID:	D	657.005'437	K69	1998	||||	Barcode:	D 193
Integrated accounting for windows [ computer file ]  	-	Author:	"Klooster, Dale H."	||||	Publisher:	Ohio :	"South   Western College Publishing,"	c1998.	||||	Subject:	Accounting	||||	Location:	Audio Visual Center	||||	Call ID:	D	657.005'437	K69	1998	||||	Barcode:	D 194
Integrated accounting for Windows [computer file]  	-	Author:	"Klooster, Dale H."	||||	Publisher:	"Mason, Ohio :"	"Thomson South Western,"	c2007.	||||	Subject:	Accounting	||||	Location:	Audio Visual Center	||||	Call ID:	CD	657'.0285'5369	K69	2007	||||	Barcode:	CD 2838
Integrated accounting for windows 2e [computer file]  	-	Author:	"Klooster, Dale H."	||||	Publisher:	Ohio :	"South Western College,"	c1998.	||||	Subject:	Accounting application for microcomputer system.	||||	Location:	Audio Visual Center	||||	Call ID:	D	657.'028	K69	1998	||||	Barcode:	D 086
Integrated accounting for windows with spreadsheets applications [ computer file ]  	-	Author:	"Klooster, Allen"	||||	Publisher:	[ s.l ] :	"South Western College,"	c 1998.	||||	Subject:	Accounting	||||	Location:	Audio Visual Center	||||	Call ID:	D	657.450'285	K69	1998	||||	Barcode:	D 095
Integrating ICT in the curriculum [videorecording}.	-	Author:	(n/a)	||||	Publisher:	Australia :	"Video Education Australasia,"	c2005.	||||	Subject:	Information technology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	372.1334	In8	2005	||||	Barcode:	CD 3681
Integrating music into the elementary classroom [ computer file ]  	-	Author:	"Anderson, William M."	||||	Publisher:	Australia :	"Wadsworth Thomson Learning,"	c2000.	||||	Subject:	School music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	372.87'044	An2	2000	||||	Barcode:	CD 440
Integrating technology across the curriculum	-	Author:	(n/a)	||||	Publisher:	New York :	"Merrill Prentice Hall,"	2003	||||	Subject:	Educational technology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	371.33	In8	(n/a)	||||	Barcode:	CD 3316
Intensive records management 	-	Author:	"Henne, Andrea"	||||	Publisher:	Ohio :	"Thomson Higher Education,"	c2007.	||||	Subject:	Records	||||	Location:	Audio Visual Center	||||	Call ID:	CD	651.5'3	H39	2007	||||	Barcode:	CD 3411
Interactions & relationships among organisms[ video recording ].	-	Author:	(n/a)	||||	Publisher:	[ s.l. ] :	Altschul Group Corporation Educational Media Studi	c1996.	||||	Subject:	Organisms	||||	Location:	Audio Visual Center	||||	Call ID:	VT	578.7	In8	1996	||||	Barcode:	VT 385
